date_operation,libelle,montant,solde_avt_ope,categ
2023-03-31,DON XX XX XX XX XX XX XX,-1.44,1515.25,AUTRE
2023-04-03,CARTE XX XX RAPT XX,-24.0,1513.81,TRANSPORT
2023-04-03,CARTE XX XX RAPT XX,-73.0,1489.81,TRANSPORT
2023-04-03,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,1416.81,AUTRE
2023-04-03,VIREMENT XX XX XX XX XX XX,4.8,2092.81,AUTRE
2023-04-03,CARTE XX XX XX XX,-14.39,2097.61,AUTRE
2023-04-05,CARTE XX XX XX XX XX,-15.2,2083.22,AUTRE
2023-04-05,CARTE XX XX XX XX,-12.0,2068.02,AUTRE
2023-04-05,PRELEVEMENT XX TELEPHONE XX XX,-7.02,2056.02,FACTURE TELEPHONE
2023-04-05,CARTE XX XX LES ANCIENS ROBINSON XX,-6.8,2049.0,COURSES
2023-04-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,2042.2,COTISATION BANCAIRE
2023-04-07,VIREMENT XX XX XX XX XX XX XX XX XX XX,992.8,2040.36,AUTRE
2023-04-10,CARTE XX XX XX XX XX,-24.0,3033.16,AUTRE
2023-04-10,VIREMENT XX XX XX XX XX XX,1.6,3009.16,AUTRE
2023-04-10,CARTE XX XX XX XX,-84.4,3010.76,AUTRE
2023-04-10,CARTE XX XX CHEZ LUC XX,-12.42,2926.36,RESTAURANT
2023-04-10,CARTE XX XX XX XX XX XX,-6.0,2913.94,AUTRE
2023-04-10,CARTE XX XX XX XX XX,-20.64,2907.94,AUTRE
2023-04-10,CARTE XX XX XX XX XX XX XX XX XX XX,-1.6,2887.3,AUTRE
2023-04-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.42,2885.7,COURSES
2023-04-10,CARTE XX XX VELOC XX XX,-2.7,2843.28,TRANSPORT
2023-04-11,VIREMENT XX XX XX XX XX XX XX,836.0,2840.58,AUTRE
2023-04-11,CARTE XX XX XX XX XX,-7.56,3676.58,AUTRE
2023-04-11,VIREMENT XX XX XX XX XX XX XX,869.44,3669.02,AUTRE
2023-04-11,CARTE XX XX XX XX,-48.0,4538.46,AUTRE
2023-04-12,CARTE XX XX XX XX XX,-28.96,4490.46,AUTRE
2023-04-13,XX XX XX XX XX XX XX,-280.0,4461.5,AUTRE
2023-04-14,CARTE XX XX XX XX XX,-1.6,4181.5,AUTRE
2023-04-14,CARTE XX XX CHEZ LUC XX,-8.8,4179.9,RESTAURANT
2023-04-14,CARTE XX XX XX XX XX,-0.8,4171.1,AUTRE
2023-04-15,VIREMENT PERMANENT LOYER,-345.0,4170.3,LOYER
2023-04-18,VIREMENT XX XX XX XX XX XX,1.6,3825.3,AUTRE
2023-04-18,CARTE XX XX XX XX XX,-10.32,3826.9,AUTRE
2023-04-18,CARTE XX XX XX XX XX,-8.72,3816.58,AUTRE
2023-04-18,RETRAIT XX XX XX,-24.0,3807.86,AUTRE
2023-04-18,CARTE XX XX XX XX,-74.58,3783.86,AUTRE
2023-04-18,CARTE XX XX VELOC XX XX,-1.7,3709.28,TRANSPORT
2023-04-19,CARTE XX XX XX XX XX,-13.6,3707.58,AUTRE
2023-04-20,CARTE XX XX XX XX,-7.2,3693.98,AUTRE
2023-04-21,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.43,3686.78,AUTRE
2023-04-24,CARTE XX XX XX XX XX,-7.84,3676.35,AUTRE
2023-04-24,CARTE XX XX XX XX,-11.64,3668.51,AUTRE
2023-04-24,CARTE XX XX CHEZ LUC XX,-9.2,3656.87,RESTAURANT
2023-04-25,CARTE XX XX LES ANCIENS ROBINSON XX,-32.67,3647.67,COURSES
2023-04-25,CARTE XX XX LES ANCIENS ROBINSON XX,-32.67,3647.67,COURSES
2023-04-26,CARTE XX XX XX XX XX XX,-10.0,3615.0,AUTRE
2023-04-26,CARTE XX XX LA LOUVE XX XX,-1.9,3605.0,COURSES
2023-04-28,CARTE XX XX LES ANCIENS ROBINSON XX,-9.11,3603.1,COURSES
2023-04-28,DON XX XX XX XX XX XX XX,-1.4,3593.99,AUTRE
2023-04-30,XX XX VIREMENT XX XX XX,-36.0,3592.59,AUTRE
2023-05-02,CARTE XX XX TOUPTIPRI XX,-12.24,3556.59,COURSES
2023-05-02,VIREMENT XX XX XX XX XX XX XX,47.2,3544.35,AUTRE
2023-05-02,CARTE XX XX XX XX XX XX,-8.48,3591.55,AUTRE
2023-05-02,CARTE XX XX XX XX XX,-16.7,3583.07,AUTRE
2023-05-02,CARTE XX XX XX XX XX XX,-10.4,3566.37,AUTRE
2023-05-02,RETRAIT XX XX XX,-32.0,3555.97,AUTRE
2023-05-03,CARTE XX XX RAPT XX,-73.0,3523.97,TRANSPORT
2023-05-03,CARTE XX XX XX XX,-14.39,3450.97,AUTRE
2023-05-04,CARTE XX XX LES ANCIENS ROBINSON XX,-17.16,3436.58,COURSES
2023-05-04,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,3419.42,AUTRE
2023-05-05,CARTE XX XX TOUPTIPRI XX,-3.48,4095.42,COURSES
2023-05-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,4091.94,COTISATION BANCAIRE
2023-05-09,PRELEVEMENT XX TELEPHONE XX XX,-7.02,4090.1,FACTURE TELEPHONE
2023-05-09,CARTE XX XX XX XX,-1.6,4083.08,AUTRE
2023-05-09,CARTE XX XX XX XX,-1.12,4081.48,AUTRE
2023-05-09,CARTE XX XX XX XX,-1.44,4080.36,AUTRE
2023-05-09,CARTE XX XX XX XX XX,-32.0,4078.92,AUTRE
2023-05-10,CARTE XX XX CHEZ LUC XX,-9.6,4046.92,RESTAURANT
2023-05-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.45,4037.32,COURSES
2023-05-11,CARTE XX XX XX XX XX,-1.6,3994.87,AUTRE
2023-05-12,CARTE XX XX XX XX,-5.6,3993.27,AUTRE
2023-05-15,VIREMENT PERMANENT LOYER,-345.0,3987.67,LOYER
2023-05-15,CARTE XX XX LES ANCIENS ROBINSON XX,-33.55,3642.67,COURSES
2023-05-15,CARTE XX XX CHEZ LUC XX,-11.0,3609.12,RESTAURANT
2023-05-15,CARTE XX XX TOUPTIPRI XX,-12.96,3598.12,COURSES
2023-05-15,CARTE XX XX XX XX XX XX,-8.0,3585.16,AUTRE
2023-05-18,CARTE XX XX XX XX XX,-1.6,3577.16,AUTRE
2023-05-19,CARTE XX XX XX XX,-12.0,3575.56,AUTRE
2023-05-22,CARTE XX XX CHEZ LUC XX,-11.4,3563.56,RESTAURANT
2023-05-22,RETRAIT XX XX XX,-32.0,3552.16,AUTRE
2023-05-22,CARTE XX XX XX XX XX XX,-2.4,3520.16,AUTRE
2023-05-22,CARTE XX XX XX XX XX XX,-9.72,3517.76,AUTRE
2023-05-22,VIREMENT XX XX XX XX XX XX XX,936.32,3508.04,AUTRE
2023-05-22,CARTE XX XX LA CCNCF XX XX,-138.24,4444.36,TRANSPORT
2023-05-23,CARTE XX XX XX XX,-3.2,4306.12,AUTRE
2023-05-23,CARTE XX XX LES ANCIENS ROBINSON XX,-4.41,4302.92,COURSES
2023-05-24,CARTE XX XX XX XX XX,-7.84,4298.51,AUTRE
2023-05-24,CARTE XX XX L'EPICERIE DEMBAS XX XX,-15.81,4290.67,AUTRE
2023-05-29,RETRAIT XX XX XX,-48.0,4274.86,AUTRE
2023-05-29,CARTE XX XX XX XX XX,-14.16,4226.86,AUTRE
2023-05-29,CARTE XX XX LES ANCIENS ROBINSON XX,-22.59,4212.7,COURSES
2023-05-31,CARTE XX XX CHEZ LUC XX,-7.74,4190.11,RESTAURANT
2023-05-31,CARTE XX XX LES ANCIENS ROBINSON XX,-6.89,4182.37,COURSES
2023-05-31,DON XX XX XX XX XX XX XX,-1.44,4175.48,AUTRE
2023-05-31,XX XX VIREMENT XX XX XX,-36.0,4174.04,AUTRE
2023-06-02,CARTE XX XX RAPT XX,-73.0,4138.04,TRANSPORT
2023-06-06,CARTE XX XX XX XX,-5.1,4065.04,AUTRE
2023-06-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,4059.94,COTISATION BANCAIRE
2023-06-06,CARTE XX XX XX XX,-14.39,4058.1,AUTRE
2023-06-06,CARTE XX XX XX XX XX XX,-10.4,4043.71,AUTRE
2023-06-06,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,4033.31,AUTRE
2023-06-06,CARTE XX XX XX XX XX,-20.4,4709.31,AUTRE
2023-06-07,PRELEVEMENT XX TELEPHONE XX XX,-6.38,4688.91,FACTURE TELEPHONE
2023-06-12,CARTE XX XX TOUPTIPRI XX,-2.51,4682.53,COURSES
2023-06-12,CARTE XX XX LES ANCIENS ROBINSON XX,-4.63,4680.02,COURSES
2023-06-12,CARTE XX XX TOUPTIPRI XX,-5.88,4675.39,COURSES
2023-06-12,CARTE XX XX XX XX XX XX,-2.32,4669.51,AUTRE
2023-06-12,CARTE XX XX LES ANCIENS ROBINSON XX,,4667.19,COURSES
2023-06-12,CARTE XX XX CHEZ LUC XX,-9.2,4640.61,RESTAURANT
2023-06-13,CARTE XX XX XX XX XX XX,-7.99,4631.41,AUTRE
2023-06-15,CARTE XX XX XX XX XX,-19.2,4623.42,AUTRE
2023-06-15,CARTE XX XX XX XX XX XX XX,-15.99,4604.22,AUTRE
2023-06-15,VIREMENT PERMANENT LOYER,-345.0,4588.23,LOYER
2023-06-16,CARTE XX XX XX XX XX,-8.0,4243.23,AUTRE
2023-06-16,CARTE XX XX LES ANCIENS ROBINSON XX,-4.39,4235.23,COURSES
2023-06-19,CARTE XX XX XX XX XX XX,-2.4,4230.84,AUTRE
2023-06-19,CARTE XX XX XX XX XX,-10.2,4228.44,AUTRE
2023-06-19,CARTE XX XX XX XX,-18.24,4218.24,AUTRE
2023-06-19,CARTE XX XX LA LOUVE XX XX,-18.45,4200.0,COURSES
2023-06-19,CARTE XX XX LES ANCIENS ROBINSON XX,-9.31,4181.55,COURSES
2023-06-20,CARTE XX XX VELOC XX XX,-29.0,4172.24,TRANSPORT
2023-06-20,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.05,4143.24,AUTRE
2023-06-21,CARTE XX XX XX XX,-2.72,4133.19,AUTRE
2023-06-22,CARTE XX XX XX XX XX,-8.8,4130.47,AUTRE
2023-06-22,CARTE XX XX XX XX XX,-7.12,4121.67,AUTRE
2023-06-23,CARTE XX XX XX XX XX,-19.84,4114.55,AUTRE
2023-06-23,CARTE XX XX XX XX XX XX,-19.36,4094.71,AUTRE
2023-06-23,CARTE XX XX XX XX XX,-10.4,4075.35,AUTRE
2023-06-26,CARTE XX XX XX XX XX XX,-8.0,4064.95,AUTRE
2023-06-26,CARTE XX XX TOUPTIPRI XX,-6.6,4056.95,COURSES
2023-06-26,CARTE XX XX LA LOUVE XX XX,-27.68,4050.35,COURSES
2023-06-26,CARTE XX XX XX XX XX,-17.2,4022.67,AUTRE
2023-06-26,CARTE XX XX XX XX XX,-29.52,4005.47,AUTRE
2023-06-26,CARTE XX XX XX XX,-96.0,3975.95,AUTRE
2023-06-26,CARTE XX XX XX XX XX XX,-24.48,3879.95,AUTRE
2023-06-26,CARTE XX XX XX XX,-183.99,3855.47,AUTRE
2023-06-27,RETRAIT XX XX XX,-40.0,3671.48,AUTRE
2023-06-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.44,3631.48,AUTRE
2023-06-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.95,3620.04,AUTRE
2023-06-28,CARTE XX XX LES ANCIENS ROBINSON XX,-12.49,3609.09,COURSES
2023-06-28,CARTE XX XX XX XX XX,-7.12,3596.6,AUTRE
2023-06-30,CARTE XX XX LA CCNCF XX XX,-23.85,3589.48,TRANSPORT
2023-06-30,DON XX XX XX XX XX XX XX,-1.76,3565.63,AUTRE
2023-06-30,XX XX VIREMENT XX XX XX,-36.0,3563.87,AUTRE
2023-07-03,CARTE XX XX XX XX XX,-19.93,3527.87,AUTRE
2023-07-03,XX XX CARTE XX XX XX,-13.06,3507.94,AUTRE
2023-07-03,CARTE XX XX XX XX,-14.39,3494.88,AUTRE
2023-07-03,CARTE XX XX XX XX,-1.12,3480.49,AUTRE
2023-07-03,CARTE XX XX XX XX,-8.8,3479.37,AUTRE
2023-07-03,CARTE XX XX RAPT XX,-73.0,3470.57,TRANSPORT
2023-07-03,CARTE XX XX XX XX XX,-48.0,3397.57,AUTRE
2023-07-03,RETRAIT XX XX XX,-40.0,3349.57,AUTRE
2023-07-03,CARTE XX XX RAPT XX,-73.0,3309.57,TRANSPORT
2023-07-03,CARTE XX XX XX XX XX XX XX XX,-602.27,3236.57,AUTRE
2023-07-05,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,2634.3,AUTRE
2023-07-06,CARTE XX XX XX XX XX,-14.62,3310.3,AUTRE
2023-07-06,PRELEVEMENT XX TELEPHONE XX XX,-36.48,3295.68,
2023-07-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,3259.2,COTISATION BANCAIRE
2023-07-07,CARTE XX XX XX XX XX,-29.2,3257.28,AUTRE
2023-07-10,CARTE XX XX LA CCNCF XX,-53.1,3228.08,TRANSPORT
2023-07-10,CARTE XX XX XX XX LA CCNCF XX,-1.53,3174.98,TRANSPORT
2023-07-10,CARTE XX XX XX XX XX,-9.52,3173.45,AUTRE
2023-07-10,CARTE XX XX XX XX LA CCNCF XX,-1.08,3163.93,TRANSPORT
2023-07-11,CARTE XX XX CHEZ LUC XX,-14.4,3162.85,RESTAURANT
2023-07-12,CARTE XX XX XX XX,-8.0,3148.45,AUTRE
2023-07-13,CARTE XX XX TOUPTIPRI XX,-9.88,3140.45,COURSES
2023-07-15,VIREMENT PERMANENT LOYER,-345.0,3130.57,LOYER
2023-07-19,CARTE XX XX XX XX XX,-4.88,2785.57,AUTRE
2023-07-19,CARTE XX XX XX XX,-104.0,2780.69,AUTRE
2023-07-19,CARTE XX XX XX XX,-12.48,2676.69,AUTRE
2023-07-20,CARTE XX XX LA CCNCF XX XX,-190.8,2664.21,TRANSPORT
2023-07-21,CARTE XX XX XX XX,-13.6,2473.41,AUTRE
2023-07-21,CARTE XX XX L'EPICERIE DEMBAS XX XX,-6.49,2459.81,AUTRE
2023-07-21,CARTE XX XX XX XX XX,-4.8,2453.32,AUTRE
2023-07-24,CARTE XX XX XX XX XX,-20.8,2448.52,AUTRE
2023-07-24,CARTE XX XX CHEZ LUC XX,-9.2,2427.72,RESTAURANT
2023-07-24,CARTE XX XX XX XX XX XX,-4.8,2418.52,AUTRE
2023-07-24,CARTE XX XX XX XX XX,-9.6,2413.72,AUTRE
2023-07-24,RETRAIT XX XX XX,-32.0,2404.12,AUTRE
2023-07-24,CARTE XX XX XX XX XX,-4.88,2372.12,AUTRE
2023-07-25,CARTE XX XX LES ANCIENS ROBINSON XX,-60.16,2367.24,COURSES
2023-07-25,VIREMENT XX XX XX XX XX XX XX,1071.6,2307.08,AUTRE
2023-07-26,CARTE XX XX L'EPICERIE DEMBAS XX XX,-7.54,3378.68,AUTRE
2023-07-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-8.14,3371.14,AUTRE
2023-07-28,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.2,3363.0,AUTRE
2023-07-31,XX XX VIREMENT XX XX XX,-36.0,3351.8,AUTRE
2023-07-31,CARTE XX XX XX XX XX XX,-8.0,3315.8,AUTRE
2023-07-31,CARTE XX XX XX XX XX XX XX,-32.44,3307.8,AUTRE
2023-07-31,CARTE XX XX LES ANCIENS ROBINSON XX,-0.94,3275.36,COURSES
2023-07-31,DON XX XX XX XX XX XX XX,-1.44,3274.42,AUTRE
2023-07-31,CARTE XX XX LA LOUVE XX XX,-23.43,3272.98,COURSES
2023-07-31,CARTE XX XX XX XX XX,-9.78,3249.55,AUTRE
2023-07-31,CARTE XX XX XX XX XX XX,-2.4,3239.77,AUTRE
2023-07-31,CARTE XX XX XX XX XX XX,-2.4,3237.37,AUTRE
2023-07-31,CARTE XX XX XX XX,-18.4,3234.97,AUTRE
2023-08-01,CARTE XX XX L'EPICERIE DEMBAS XX XX,-9.82,3216.57,AUTRE
2023-08-02,CARTE XX XX RAPT XX,-75.2,3206.75,TRANSPORT
2023-08-03,CARTE XX XX CHEZ LUC XX,-10.2,3131.55,RESTAURANT
2023-08-03,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,3121.35,AUTRE
2023-08-03,CARTE XX XX XX XX,-15000.0,3797.35,AUTRE
2023-08-03,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.51,3782.96,AUTRE
2023-08-04,CARTE XX XX XX XX XX,-17.2,3772.45,AUTRE
2023-08-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,3755.25,COTISATION BANCAIRE
2023-08-07,CARTE XX XX XX XX XX,-1.6,3753.33,AUTRE
2023-08-07,PRELEVEMENT XX TELEPHONE XX XX,-7.46,3751.73,FACTURE TELEPHONE
2023-08-07,CARTE XX XX XX XX XX,-1.6,3744.27,AUTRE
2023-08-07,CARTE XX XX XX XX XX,-10.88,3742.67,AUTRE
2023-08-07,CARTE XX XX LES ANCIENS ROBINSON XX,-21.73,3731.79,COURSES
2023-08-07,CARTE XX XX XX XX XX XX,-2.0,3710.06,AUTRE
2023-08-08,CARTE XX XX L'EPICERIE DEMBAS XX XX,-7.54,3708.06,AUTRE
2023-08-08,CARTE XX XX XX XX XX XX XX XX,-0.96,3700.52,AUTRE
2023-08-08,CARTE XX XX XX XX XX XX XX XX,-1.19,3699.56,AUTRE
2023-08-08,CARTE XX XX XX XX XX XX XX XX,-0.96,3698.37,AUTRE
2023-08-09,CARTE XX XX XX XX XX,-8.0,3697.41,AUTRE
2023-08-10,CARTE XX XX XX XX XX XX XX XX,-3.28,3689.41,AUTRE
2023-08-14,CARTE XX XX XX XX XX,-17.44,3686.13,AUTRE
2023-08-14,CARTE XX XX CHEZ LUC XX,-10.4,3668.69,RESTAURANT
2023-08-14,CARTE XX XX XX XX XX XX,-4.0,3658.29,AUTRE
2023-08-14,CARTE XX XX XX XX XX XX,-3.2,3654.29,AUTRE
2023-08-14,CARTE XX XX XX XX XX XX,-2.4,3651.09,AUTRE
2023-08-14,CARTE XX XX XX XX,-11.7,3648.69,AUTRE
2023-08-15,VIREMENT PERMANENT LOYER,-345.0,3636.99,LOYER
2023-08-16,CARTE XX XX XX XX XX,-23.2,3291.99,AUTRE
2023-08-16,CARTE XX XX XX XX XX,-3.92,3268.79,AUTRE
2023-08-16,CARTE XX XX XX XX XX XX,-53.76,3264.87,AUTRE
2023-08-17,CARTE XX XX LES ANCIENS ROBINSON XX,-28.11,3211.11,COURSES
2023-08-17,CARTE XX XX XX XX XX XX,-0.8,3183.0,AUTRE
2023-08-17,CARTE XX XX XX XX XX XX,-2.0,3182.2,AUTRE
2023-08-17,CARTE XX XX XX XX XX XX,-2.0,3180.2,AUTRE
2023-08-18,CARTE XX XX XX XX,-4.79,3178.2,AUTRE
2023-08-18,CARTE XX XX XX XX XX XX,-2.4,3173.41,AUTRE
2023-08-21,CARTE XX XX XX XX XX,-1.68,3171.01,AUTRE
2023-08-21,CARTE XX XX CHEZ LUC XX,-12.84,3169.33,RESTAURANT
2023-08-21,CARTE XX XX XX XX XX,-10.23,3156.49,AUTRE
2023-08-21,CARTE XX XX XX XX XX,-7.12,3146.26,AUTRE
2023-08-22,CARTE XX XX LES ANCIENS ROBINSON XX,-10.91,3139.14,COURSES
2023-08-22,CARTE XX XX XX XX XX,-0.8,3128.23,AUTRE
2023-08-22,CARTE XX XX XX XX XX,-3.78,3127.43,AUTRE
2023-08-24,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.97,3123.65,AUTRE
2023-08-25,CARTE XX XX XX XX XX,-6.4,3111.68,AUTRE
2023-08-25,CARTE XX XX XX XX,-2.01,3105.28,AUTRE
2023-08-25,CARTE XX XX VELOC XX XX,-5.0,3103.27,TRANSPORT
2023-08-28,CARTE XX XX XX XX XX,-12.0,3098.27,AUTRE
2023-08-28,CARTE XX XX XX XX XX XX,-43.6,3086.27,AUTRE
2023-08-28,RETRAIT XX XX XX,-32.0,3042.67,AUTRE
2023-08-28,CARTE XX XX LA LOUVE XX XX,-29.18,3010.67,COURSES
2023-08-28,CARTE XX XX XX XX XX,-9.8,2981.49,AUTRE
2023-08-29,CARTE XX XX XX XX,-2.45,2971.69,AUTRE
2023-08-31,DON XX XX XX XX XX XX XX,-2.28,2969.24,AUTRE
2023-08-31,CARTE XX XX XX XX XX,-2.44,2966.96,AUTRE
2023-08-31,XX XX VIREMENT XX XX XX,-36.0,2964.52,AUTRE
2023-08-31,CARTE XX XX LA LOUVE XX XX,-26.19,2928.52,COURSES
2023-09-04,CARTE XX XX TOUPTIPRI XX,-13.59,2902.33,COURSES
2023-09-04,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,2888.74,AUTRE
2023-09-04,CARTE XX XX RAPT XX,-75.2,3564.74,TRANSPORT
2023-09-04,CARTE XX XX CHEZ LUC XX,-10.4,3489.54,RESTAURANT
2023-09-04,CARTE XX XX XX XX,-14.39,3479.14,AUTRE
2023-09-04,CARTE XX XX XX XX,-3.6,3464.75,AUTRE
2023-09-05,CARTE XX XX XX XX XX,-0.8,3461.15,AUTRE
2023-09-05,CARTE XX XX XX XX XX,-6.39,3460.35,AUTRE
2023-09-05,PRELEVEMENT XX TELEPHONE XX XX,-6.38,3453.96,FACTURE TELEPHONE
2023-09-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,3447.58,COTISATION BANCAIRE
2023-09-06,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.12,3445.66,AUTRE
2023-09-07,CARTE XX XX XX XX,-11.2,3434.54,AUTRE
2023-09-08,CARTE XX XX XX XX XX XX,-4.0,3423.34,AUTRE
2023-09-08,CARTE XX XX L'EPICERIE DEMBAS XX XX,-5.57,3419.34,AUTRE
2023-09-08,CARTE XX XX XX XX XX,-0.8,3413.77,AUTRE
2023-09-11,CARTE XX XX XX XX XX XX,-1.44,3412.97,AUTRE
2023-09-11,CARTE XX XX XX XX,-9.6,3411.53,AUTRE
2023-09-11,CARTE XX XX XX XX,,3401.93,AUTRE
2023-09-11,CARTE XX XX XX XX XX XX,-1.44,3389.93,AUTRE
2023-09-11,CARTE XX XX TOUPTIPRI XX,-9.6,3388.49,COURSES
2023-09-12,CARTE XX XX LA CCNCF XX XX,-11.25,3378.89,TRANSPORT
2023-09-12,CARTE XX XX XX XX XX,-4.0,3367.64,AUTRE
2023-09-12,CARTE XX XX L'EPICERIE DEMBAS XX XX,-19.61,3363.64,AUTRE
2023-09-14,CARTE XX XX LA CCNCF XX,-47.61,3344.03,TRANSPORT
2023-09-15,VIREMENT PERMANENT LOYER,-345.0,3296.42,LOYER
2023-09-15,VIREMENT XX XX XX XX XX XX XX XX XX,39.82,2951.42,AUTRE
2023-09-18,CARTE XX XX LA LOUVE XX XX,-20.59,2991.24,COURSES
2023-09-18,CARTE XX XX XX XX,-1.6,2970.65,AUTRE
2023-09-18,CARTE XX XX XX XX XX,-0.96,2969.05,AUTRE
2023-09-18,CARTE XX XX XX XX XX,-5.2,2968.09,AUTRE
2023-09-20,CARTE XX XX TOUPTIPRI XX,-2.56,2962.89,COURSES
2023-09-20,CARTE XX XX XX XX,-30.37,2960.33,AUTRE
2023-09-20,CARTE XX XX XX XX XX,-8.6,2929.96,AUTRE
2023-09-20,CARTE XX XX XX XX XX XX,-2.56,2921.36,AUTRE
2023-09-21,CARTE XX XX XX XX XX,-10.45,2918.8,AUTRE
2023-09-22,CARTE XX XX XX XX,-4.0,2908.35,AUTRE
2023-09-22,CARTE XX XX XX XX XX,-5.6,2904.35,AUTRE
2023-09-25,PRELEVEMENT XX XX XX XX XX XX XX XX,-593.6,2898.75,AUTRE
2023-09-25,CARTE XX XX CHEZ LUC XX,-8.52,2305.15,RESTAURANT
2023-09-25,CARTE XX XX XX XX XX XX,-7.12,2296.63,AUTRE
2023-09-25,CARTE XX XX XX XX XX,-23.33,2289.51,AUTRE
2023-09-25,CARTE XX XX XX XX XX,-9.31,2266.18,AUTRE
2023-09-25,CARTE XX XX XX XX XX XX,-12.0,2256.87,AUTRE
2023-09-25,CARTE XX XX XX XX,-40.0,2244.87,AUTRE
2023-09-26,CARTE XX XX TOUPTIPRI XX,-2.93,2204.87,COURSES
2023-09-26,CARTE XX XX TOUPTIPRI XX,-10.36,2201.94,COURSES
2023-09-26,RETRAIT XX XX XX,-320.0,2191.58,AUTRE
2023-09-26,CARTE XX XX XX XX XX,-1.2,1871.58,AUTRE
2023-09-29,DON XX XX XX XX XX XX XX,-1.76,1870.38,AUTRE
2023-09-30,XX XX VIREMENT XX XX XX,-36.0,1868.62,AUTRE
2023-10-02,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,1832.62,AUTRE
2023-10-03,CARTE XX XX LA CCNCF XX,-67.68,2508.62,TRANSPORT
2023-10-05,CARTE XX XX XX XX XX XX,-10.64,2440.94,AUTRE
2023-10-05,CARTE XX XX XX XX,-4.8,2430.3,AUTRE
2023-10-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,2425.5,COTISATION BANCAIRE
2023-10-06,CARTE XX XX CHEZ LUC XX,-10.0,2423.58,RESTAURANT
2023-10-06,PRELEVEMENT XX TELEPHONE XX XX,-13.58,2413.58,FACTURE TELEPHONE
